"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"enhancerID"
"chr1_110075226_110075245_enh-1003163_32"	157.60698282482	0.524408484472481	0.302909505495113	1.73123812544384	0.0834093020374884	0.683886912475671	"chr1_110075226_110075245_enh-1003163_32"
"chr1_110075229_110075248_enh-1003163_28"	56.9495900100067	0.572415955067774	0.50337646228896	1.13715280302316	0.255474413288649	0.848518187125388	"chr1_110075229_110075248_enh-1003163_28"
"chr1_110075243_110075262_enh-1003163_17"	56.1844219937207	-0.00685370372464511	0.484096644052654	-0.0141577179037408	0.988704152828103	0.99956383435545	"chr1_110075243_110075262_enh-1003163_17"
"chr1_110075258_110075277_enh-1003163_25"	170.441555365897	-0.661346786031012	0.356344655626967	-1.85591891329873	0.063465116715531	0.637161414453554	"chr1_110075258_110075277_enh-1003163_25"
"chr1_110075259_110075278_enh-1003163_12"	150.347335149817	0.414763834774319	0.351216171618228	1.18093603965699	0.237628132957704	0.84360489590707	"chr1_110075259_110075278_enh-1003163_12"
"chr1_110075259_110075278_enh-1003163_3"	87.2938112173906	0.719112730294077	0.41493318086582	1.73308080301879	0.0830813079041056	0.683886912475671	"chr1_110075259_110075278_enh-1003163_3"
"chr1_110075266_110075285_enh-1003163_39"	150.677202451561	-0.163329388672354	0.332247121974837	-0.491590078197048	0.623009158857385	0.95850554024682	"chr1_110075266_110075285_enh-1003163_39"
"chr1_110075267_110075286_enh-1003163_9"	56.2646900902611	0.665284767049197	0.53965456796397	1.23279743477241	0.217651348651809	0.830726312784913	"chr1_110075267_110075286_enh-1003163_9"
"chr1_110075274_110075293_enh-1003163_19"	41.6028554941559	0.207816787354247	0.657561564789211	0.316041567029341	0.751970957887967	0.981442338561867	"chr1_110075274_110075293_enh-1003163_19"
"chr1_110075275_110075294_enh-1003163_11"	87.4375409662671	0.469458818187831	0.459832594427513	1.02093419187107	0.307285618346392	0.879892676184262	"chr1_110075275_110075294_enh-1003163_11"
"chr1_110075280_110075299_enh-1003163_38"	93.5939456134052	0.478985175534711	0.442188914997363	1.08321389182171	0.278713495041451	0.864622156150488	"chr1_110075280_110075299_enh-1003163_38"
"chr1_110075281_110075300_enh-1003163_36"	197.041397168281	0.176859448436734	0.272782494257047	0.648353366364033	0.516756424845858	0.934613731188603	"chr1_110075281_110075300_enh-1003163_36"
"chr1_110075283_110075302_enh-1003163_34"	187.30578607892	0.625587603117116	0.272282638198807	2.29756699602838	0.0215864458867575	0.476797393466463	"chr1_110075283_110075302_enh-1003163_34"
"chr1_110075284_110075303_enh-1003163_20"	343.082193630352	0.285748397691971	0.313660447827736	0.911011890950642	0.362289108408648	0.897152464526814	"chr1_110075284_110075303_enh-1003163_20"
"chr1_110075285_110075304_enh-1003163_31"	186.317184236041	0.170645960231156	0.299981516951513	0.56885491468042	0.569454603983144	0.946479200667463	"chr1_110075285_110075304_enh-1003163_31"
"chr1_110075296_110075315_enh-1003163_30"	93.1829225882204	0.884787576232368	0.419775323684345	2.10776462148045	0.0350513544719429	0.544766443267965	"chr1_110075296_110075315_enh-1003163_30"
"chr1_110075297_110075316_enh-1003163_29"	102.04987834659	0.108517570238386	0.518136055476306	0.209438368728517	0.83410604294657	0.991086822693327	"chr1_110075297_110075316_enh-1003163_29"
"chr1_110075308_110075327_enh-1003163_16"	17.9913410777038	-1.45025720179981	1.0707301639904	-1.35445628653534	0.175590850561288	0.817011832540007	"chr1_110075308_110075327_enh-1003163_16"
"chr1_110075311_110075330_enh-1003163_26"	39.2778965086813	0.569874135723251	0.742314330062183	0.767699224768452	0.442665896859981	0.919307790363711	"chr1_110075311_110075330_enh-1003163_26"
"chr1_110075315_110075334_enh-1003163_23"	67.1205952560475	0.6454501251513	0.753244799128337	0.856892906394072	0.391504073479887	0.902951396506552	"chr1_110075315_110075334_enh-1003163_23"
