"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"chr1_110075226_110075245_enh-1003163_32"	281.624094858411	-0.00802762221864604	0.556080656698221	-0.0144360752742431	0.988482078477807	0.998089168091188
"chr1_110075229_110075248_enh-1003163_28"	57.0107187035942	-1.63306148104285	0.733434410239329	-2.22659512322303	0.0259743451889972	0.313958531210928
"chr1_110075243_110075262_enh-1003163_17"	69.9125569077699	-1.26658562403407	0.712687772286415	-1.77719567149393	0.0755360513874434	0.472495920745035
"chr1_110075258_110075277_enh-1003163_25"	493.08862656352	1.62879863881958	0.709378257292889	2.29609326487586	0.0216705493186279	0.290897660022202
"chr1_110075259_110075278_enh-1003163_12"	218.384903234257	-0.231514414817863	0.546894031352426	-0.42332591241734	0.672057491042306	0.91681559525128
"chr1_110075259_110075278_enh-1003163_3"	125.483671920978	-0.638872651723861	0.569748359290083	-1.12132425009509	0.262149866851403	0.721670232873427
"chr1_110075266_110075285_enh-1003163_39"	382.939586356609	0.639913338681438	0.605465842952	1.05689420159771	0.290559875065656	0.736761588774167
"chr1_110075267_110075286_enh-1003163_9"	79.1151817822317	0.10716738046993	1.17207688768141	0.0914337460249114	0.927147948592187	0.983541278719882
"chr1_110075274_110075293_enh-1003163_19"	87.9617929070179	0.887402247026801	0.812260101780525	1.09250995473194	0.274609017367637	0.728341792282399
"chr1_110075275_110075294_enh-1003163_11"	172.003239188381	0.319342589543923	0.597176946425786	0.53475371320887	0.592820173822731	0.89390104193962
"chr1_110075280_110075299_enh-1003163_38"	140.348060776792	0.323932004818086	0.525996831494318	0.615844023048235	0.537997469125601	0.870468608510438
"chr1_110075281_110075300_enh-1003163_36"	271.555030014406	0.172482283888215	0.49966257008669	0.345197527720136	0.729945877259685	0.936663789188415
"chr1_110075283_110075302_enh-1003163_34"	308.62902500731	-0.396980191649326	0.404656529134053	-0.981029992272326	0.326577951522391	0.760986498642895
"chr1_110075284_110075303_enh-1003163_20"	504.771757886526	-0.602824771864221	0.413086387057593	-1.45931889975395	0.1444773558965	0.598399464321227
"chr1_110075285_110075304_enh-1003163_31"	422.762901234276	0.369080512438437	0.472648489230446	0.780877376841644	0.434874619073776	0.826560923851547
"chr1_110075296_110075315_enh-1003163_30"	120.243043580844	-0.265841284431698	0.525266508136893	-0.506107433680915	0.612781232327499	0.898047492483577
"chr1_110075297_110075316_enh-1003163_29"	135.998575841452	-1.07271207073588	0.634488259903108	-1.69067284381226	0.0908993036447864	0.505729925377514
"chr1_110075308_110075327_enh-1003163_16"	20.8692342351381	0.473654154204567	1.59821513709648	0.296364452576182	0.766951769302498	0.945669403313381
"chr1_110075311_110075330_enh-1003163_26"	71.7165392035825	1.66361202602268	0.720053163053241	2.31040166391113	0.0208659270646584	0.286157969722105
"chr1_110075315_110075334_enh-1003163_23"	73.1156715198166	-2.31934777792567	0.654344833663304	-3.54453440847232	0.000393307164913179	0.038484793938211
"chr1_110075315_110075334_enh-1003163_37"	71.9080441096951	-1.34310751589943	1.02107979439311	-1.31537958470496	0.188382363204526	0.653839271810493
"chr1_110075316_110075335_enh-1003163_6"	90.3000166264138	0.595219509308453	0.707851675675042	0.840881684345556	0.400414220102236	0.809643375219576
"chr1_110075323_110075342_enh-1003163_33"	132.27537721662	0.535462232989307	0.526031360122948	1.01792834720758	0.308712008978419	0.749400902370059
"chr1_110075330_110075349_enh-1003163_8"	261.25494071809	0.176560038364365	1.33726663406159	0.132030541903309	0.894960134264263	0.975421101073559
"chr1_110075331_110075350_enh-1003163_21"	221.449312564771	-0.268752373923287	0.478608591295998	-0.561528519986546	0.574437293581751	0.886831629422666
"chr1_110075332_110075351_enh-1003163_1"	96.2959190507104	-1.25418182509727	0.984175823558593	-1.27434732196772	0.202540352533858	0.666587827766395
"chr1_110075337_110075356_enh-1003163_24"	165.255561386407	0.234702526564913	0.562148929193297	0.417509514608022	0.676305766377116	0.91887019947966
